Location,Year,Municipality Population-- do not change or edit - click to see definition,Direct Circ,Total Appropriated Municipal Income--Operating,1 Total number of adult programs,2 Total attendance at all adult programs,3 Total number of Young Adult programs,4 Total attendance at YA programs,5 Total number of children's programs,6 Total Attendance at all Children's Programs,7 Total Number of Programs,8 Total Attendance at All Programs,ILL Received,ILL Provided,Visitors,1 Number of public use Internet computers available in the library (including children's area) and its branches and bookmobiles,Number of Users of Public Internet Computers Per Year - IMLS
Easthampton - Emily Williston Memorial Library,2013,"16,053","105,105","$195,577 ",52,415,19,132,152,"3,726",223,"4,273","21,806","9,345","81,577",5,"6,188"
Abington - Abington Public Library,2013,"15,985","105,664","$447,951 ",65,"1,269",39,556,251,"5,517",355,"7,342","15,084","15,842","75,041",15,"6,448"
Fairhaven - Millicent Library,2013,"15,873","116,236","$576,936 ",9,271,20,276,260,"5,260",289,"5,807","15,706","29,238",,7,"33,280"
Swansea - Swansea Free Public Library,2013,"15,865","68,430","$244,363 ",250,"1,400",95,426,275,"2,400",620,"4,226","15,611","14,312","22,845",8,"15,028"
Longmeadow - Richard Salter Storrs Library,2013,"15,784","196,350","$629,427 ",122,"2,534",6,30,518,"11,638",646,"14,202","19,223","14,952","118,603",18,"14,560"
East Longmeadow - East Longmeadow Public Library,2013,"15,720","194,512","$666,200 ",75,"1,025",5,45,251,"9,588",331,"10,658","30,158","25,685",,21,"67,600"
Northbridge - Whitinsville Social Library,2013,"15,707","54,628","$120,000 ",66,667,2,24,106,"2,621",174,"3,312","5,225","6,208",,6,"3,120"
Westport - Westport Free Public Library,2013,"15,532","67,107","$174,660 ",3,85,7,93,72,"1,249",82,"1,427","14,626","7,309",,7,"39,000"
Duxbury - Duxbury Free Library,2013,"15,059","236,207","$1,206,118 ",195,"2,508",137,"2,110",228,"5,558",560,"10,176","25,625","38,109","177,662",20,"13,312"
Hopkinton - Hopkinton Public Library,2013,"14,925","140,662","$343,422 ",54,797,8,24,112,"1,937",174,"2,758","14,191","8,653","62,534",7,"5,460"
North Reading - Flint Memorial Library,2013,"14,892","97,862","$458,692 ",62,768,13,103,199,"6,071",274,"6,942","11,996","21,770","36,244",14,"15,600"
Belchertown - Clapp Memorial Library,2013,"14,649","119,037","$392,640 ",43,998,30,461,357,"10,378",430,"11,837","18,574","15,100","100,333",5,"4,836"
Westwood - Westwood Public Library,2013,"14,618","145,643","$1,043,797 ",7,61,0,0,283,"5,297",290,"5,358","27,291","16,235","60,000",15,"2,600"
Whitman - Whitman Public Library,2013,"14,489","97,187","$362,054 ",43,374,25,259,119,"2,858",187,"3,491","16,841","13,505","83,914",13,"20,852"
Wilbraham - Wilbraham Public Library,2013,"14,219","150,638","$647,002 ",97,"1,005",36,"1,026",133,"2,870",266,"4,901","14,527","17,897","81,293",19,"13,884"
Dennis - South Dennis Free Public Library,2013,"14,207","21,066","$34,226 ",8,202,0,0,7,100,15,302,"3,413","5,605","8,993",2,"3,900"
Dennis - West Dennis Free Public Library,2013,"14,207","8,932","$39,085 ",248,"1,974",12,60,16,108,276,"2,142","4,582","5,474","12,525",5,"4,420"
Dennis - Dennis Public Library,2013,"14,207","68,450","$295,978 ",107,"1,830",6,31,69,"1,770",182,"3,631","2,126","13,479","110,512",9,"13,000"
Dennis - Jacob Sears Memorial Library,2013,"14,207","45,741","$32,085 ",137,"3,020",0,0,0,0,137,"3,020","4,267","7,621","18,600",5,"4,784"
Dennis - Dennis Memorial Library Association,2013,"14,207","68,493","$75,952 ",105,"2,074",0,0,18,403,123,"2,477","12,475","6,937","54,494",14,"10,296"
Northborough - Northborough Free Library,2013,"14,155","168,368","$679,362 ",41,483,16,181,281,"9,235",338,"9,899","22,570","14,157","133,342",21,"14,976"
Mashpee - Mashpee Public Library,2013,"14,006","201,528","$398,401 ",4,200,17,14,288,"6,985",309,"7,199","28,533","19,998",,26,"18,824"
Hanover - John Curtis Free Library,2013,"13,879","105,965","$535,953 ",32,489,21,126,256,"2,986",309,"3,601","20,072","18,754",,19,"5,980"
East Bridgewater - East Bridgewater Public Library,2013,"13,794","101,869","$409,691 ",16,304,12,79,314,"5,139",342,"5,522","17,983","16,082",,5,"6,760"
Swampscott - Swampscott Public Library,2013,"13,787","162,666","$625,262 ",226,"2,530",25,439,103,"2,084",354,"5,053","14,324","16,782","78,036",18,"14,456"
Seekonk - Seekonk Public Library,2013,"13,722","243,482","$836,738 ",111,"2,065",0,0,262,"7,405",373,"9,470","26,966","38,722","106,083",39,"12,272"
Oxford - Oxford Free Public Library,2013,"13,709","114,218","$392,808 ",27,234,,,206,"3,455",233,"3,689","13,403","12,143",,16,"18,200"
North Adams - North Adams Public Library,2013,"13,708","133,937","$312,470 ",18,620,0,0,145,"2,836",163,"3,456","15,625","12,866","85,175",8,"14,040"
Clinton - Bigelow Free Public Library,2013,"13,606","37,084","$316,650 ",15,356,0,,31,"1,042",46,"1,398","2,300",423,"25,563",12,"31,200"
Holliston - Holliston Public Library,2013,"13,547","173,272","$436,165 ",41,602,1,9,126,"3,112",168,"3,723","27,235","25,137","156,000",13,"26,000"
Uxbridge - Uxbridge Free Public Library,2013,"13,457","84,141","$329,374 ",106,731,28,203,116,"3,084",250,"4,018","12,049","12,167","68,557",12,"2,028"
Raynham - Raynham Public Library,2013,"13,383","109,016","$289,335 ",58,"1,273",16,90,163,"2,738",237,"4,101","15,626","12,997","66,354",7,"6,656"
Bedford - Bedford Free Public Library,2013,"13,320","365,549","$1,179,384 ",110,"2,246",34,651,199,"6,434",343,"9,331","45,036","47,184","418,546",15,"19,812"
Millbury - Millbury Public Library,2013,"13,261","65,575","$374,567 ",184,"2,670",0,0,302,"2,725",486,"5,395","9,727","8,975",0,6,"5,356"
Ipswich - Ipswich Public Library,2013,"13,175","166,097","$549,717 ",6,190,17,123,281,"5,478",304,"5,791","24,043","21,684","105,692",9,"17,888"
Wayland - Wayland Free Public Library,2013,"12,994","213,452","$974,750 ",192,"2,772",10,104,144,"3,375",346,"6,251","25,079","38,727","109,770",16,"29,380"
Charlton - Charlton Public Library,2013,"12,981","92,503","$308,128 ",70,438,66,708,251,"7,432",387,"8,578","13,128","10,414",,25,"5,044"
Medway - Medway Public Library,2013,"12,752","105,516","$219,150 ",11,451,2,64,65,809,78,"1,324","12,093","17,873","70,007",16,"4,264"
Hamilton - Hamilton-Wenham Public Library,2013,"12,639","250,626","$725,541 ",341,"5,750",68,"1,048",271,"8,418",680,"15,216","28,292","39,014","109,618",22,"24,856"
Kingston - Kingston Public Library,2013,"12,629","121,777","$544,231 ",242,"2,620",12,120,217,"3,117",471,"5,857","16,263","26,019","71,456",17,"8,580"
Harwich - Brooks Free Library,2013,"12,243","204,788","$668,230 ",701,"4,121",35,242,283,"6,357","1,019","10,720","37,510","31,153","158,081",20,"73,268"
"Harwich - Chase Library Assoc., Inc.",2013,"12,243","4,151","$10,000 ",4,521,0,0,12,91,16,612,421,421,"2,865",1,624
Harwich - Harwich Port Library Association,2013,"12,243","7,270","$10,000 ",6,250,0,0,8,120,14,370,312,40,"3,338",1,312
Palmer - Palmer Public Library,2013,"12,140","121,756","$682,837 ",27,565,39,791,54,"1,959",120,"3,315","12,785","20,068","83,442",40,"26,988"
Medfield - Medfield Memorial Library,2013,"12,024","198,400","$652,745 ",89,644,89,"1,859",329,"6,422",507,"8,925","21,848","31,497","114,187",19,"13,624"
Spencer - Richard Sugden Public Library,2013,"11,688","48,535","$375,044 ",147,458,77,425,313,"4,022",537,"4,905","6,065","7,559","39,140",11,"15,028"
Rehoboth - Blanding Free Public Library,2013,"11,608","45,982","$205,866 ",53,645,11,82,150,"3,635",214,"4,362","11,064","11,924",,4,
Lynnfield - Lynnfield Public Library,2013,"11,596","122,556","$696,606 ",37,"1,780",25,244,213,"5,483",275,"7,507","13,639","18,740","105,090",9,"29,120"
Athol - Athol Public Library,2013,"11,584","74,891","$442,864 ",38,826,115,889,209,"2,298",362,"4,013","12,360","10,023",,28,
Carver - Carver Public Library,2013,"11,509","84,886","$358,650 ",21,187,41,272,320,"4,768",382,"5,227","11,342","13,072","88,219",19,"13,000"
Pepperell - Lawrence Library,2013,"11,497","114,075","$439,603 ",229,"7,002",18,237,136,"3,054",383,"10,293","13,908","15,195","87,030",8,"5,720"
Dudley - Pearle L. Crawford Memorial Library,2013,"11,390","65,785","$174,776 ",15,275,12,84,102,"2,367",129,"2,726","8,823","6,520","63,040",26,"18,720"
Tyngsborough - Tyngsborough Public Library,2013,"11,292","91,454","$325,877 ",82,874,6,184,137,"3,225",225,"4,283","12,351","33,747","67,072",8,"6,656"
Weston - Weston Public Library,2013,"11,261","372,331","$1,254,920 ",559,"4,064",8,111,295,"6,507",862,"10,682","27,384","55,658","222,135",15,"10,868"
Norfolk - Norfolk Public Library,2013,"11,227","113,023","$490,052 ",36,776,13,128,246,"5,259",295,"6,163","15,179","18,982","82,828",16,"4,836"
Leicester - Leicester Public Library,2013,"10,970","33,833","$162,823 ",20,120,0,0,45,639,65,759,"4,106","5,619","33,209",9,"3,796"
Wrentham - Fiske Public Library,2013,"10,955","81,961","$261,375 ",52,650,1,8,345,"6,500",398,"7,158","11,097","14,807",,12,"2,496"
Holbrook - Holbrook Public Library,2013,"10,791","64,655","$312,458 ",52,662,17,119,80,825,149,"1,606","13,425","10,882",,16,"7,384"
Groton - Groton Public Library,2013,"10,646","221,330","$751,988 ",145,"1,790",81,"1,762",248,"5,497",474,"9,049","1,879",572,"97,842",26,"6,344"
Lakeville - Lakeville Free Public Library,2013,"10,602","111,582","$273,653 ",227,"1,069",8,73,185,"2,191",420,"3,333","18,977","15,625","60,402",14,"6,760"
Norwell - Norwell Public Library,2013,"10,506","125,860","$539,269 ",144,"1,323",11,617,151,"5,076",306,"7,016","17,171","28,274","173,802",12,"7,956"
Acushnet - Russell Memorial Library,2013,"10,303","51,709","$200,840 ",66,563,,,23,952,89,"1,515","9,254","10,252",,4,"1,976"
Winchendon - Beals Memorial Library,2013,"10,300","37,727","$163,541 ",2,52,,,96,961,98,"1,013","7,157","8,068","26,642",8,"4,836"
Hull - Hull Public Library,2013,"10,293","43,374","$273,383 ",36,647,0,0,47,549,83,"1,196","12,250","5,221","47,201",9,"21,892"
Hanson - Hanson Public Library,2013,"10,209","69,255","$324,189 ",54,729,7,117,114,"2,265",175,"3,111","8,121","13,430","88,085",10,"13,104"
Nantucket - Nantucket Atheneum,2013,"10,172","117,413","$667,901 ",355,"14,038",60,785,473,"11,339",888,"26,162","16,889","20,070","160,206",20,"11,232"
Maynard - Maynard Public Library,2013,"10,106","132,314","$456,525 ",14,615,7,101,114,"3,449",135,"4,165","21,634","27,054",0,20,"21,580"
Lunenburg - Lunenburg Public Library,2013,"10,086","101,095","$346,612 ",35,574,34,385,98,"1,408",167,"2,367","10,722","11,589","140,400",19,"9,620"
Ware - Young Men's Library Association,2013,"9,872","47,723","$184,383 ",2,8,,,46,725,48,733,"5,205","5,842","24,298",5,"4,420"
Brewster - Brewster Ladies' Library,2013,"9,820","157,604","$552,754 ",110,"2,849",33,395,111,"3,381",254,"6,625","22,445","23,186","139,600",17,"64,220"
Southborough - Southborough Public Library,2013,"9,767","148,429","$404,441 ",49,856,39,427,212,"6,593",300,"7,876","17,214","17,886","90,643",6,"2,756"
Southwick - Southwick Public Library,2013,"9,502","58,222","$364,927 ",26,428,29,660,80,"3,352",135,"4,440","1,253","1,350","48,256",7,"2,704"
Sturbridge - Joshua Hyde Public Library,2013,"9,268","106,424","$400,613 ",39,351,2,21,206,"3,093",247,"3,465","13,745","13,857","147,428",9,"7,904"
Blackstone - Blackstone Free Public Library,2013,"9,026","74,030","$315,797 ",16,457,2,41,190,"3,560",208,"4,058","7,049","18,797","41,229",18,"5,356"
Middleton - Flint Public Library,2013,"8,987","71,831","$413,067 ",145,"1,844",6,44,216,"5,469",367,"7,357","12,890","15,548","53,123",15,"4,940"
Sutton - Sutton Free Public Library,2013,"8,963","60,949","$171,162 ",41,165,20,169,140,"2,333",201,"2,667","7,020","8,792","53,750",3,"7,800"
Townsend - Townsend Public Library,2013,"8,926","123,887","$218,463 ",163,"2,243",25,237,203,"4,003",391,"6,483","14,856","15,271","66,379",40,"15,600"
Littleton - Reuben Hoar Library,2013,"8,924","161,910","$447,284 ",152,"2,212",12,134,148,"3,685",312,"6,031","27,856","25,613","58,524",13,"4,212"
Freetown - James White Memorial Library,2013,"8,870","13,844","$112,427 ",0,0,2,31,12,36,14,67,"6,562","6,709","9,977",8,"2,184"
Monson - Monson Free Library & Reading Room,2013,"8,560","48,544","$214,725 ",41,376,0,0,126,"1,853",167,"2,229","7,202","9,000",,5,"2,288"
Adams - Adams Free Library,2013,"8,485","66,019","$272,202 ",27,"1,474",,,66,"2,372",93,"3,846","2,886","1,402",,8,"3,328"
Douglas - Simon Fairfield Public Library,2013,"8,471","37,989","$202,877 ",2,60,38,72,114,"1,675",154,"1,807","7,839","9,272",,4,"3,952"
Montague - Montague Public Libraries,2013,"8,437","115,338","$303,739 ",24,168,0,0,244,"7,415",268,"7,583","17,551","12,057","48,861",7,"7,800"
Salisbury - Salisbury Public Library,2013,"8,283","23,988","$191,968 ",45,667,,,66,"1,102",111,"1,769","5,705","8,597",,3,"3,224"
Plainville - Plainville Public Library,2013,"8,264","80,958","$192,710 ",45,520,0,0,178,"4,122",223,"4,642","11,611","16,692",,8,"2,340"
Georgetown - Peabody Library,2013,"8,183","72,931","$301,288 ",11,202,1,7,162,"2,574",174,"2,783","10,562","17,597","38,075",21,"5,148"
Lancaster - Thayer Memorial Library,2013,"8,055","110,588","$294,257 ",226,"1,448",26,194,102,"1,651",354,"3,293","12,384","28,294","66,160",12,"4,160"
Templeton - Boynton Public Library,2013,"8,013","33,111","$54,295 ",3,78,1,15,285,"8,120",289,"8,213","1,401",15,0,2,"2,340"
Rutland - Rutland Free Public Library,2013,"7,973","52,749","$189,676 ",54,587,1,27,65,"1,354",120,"1,968","2,358",76,"39,877",15,"7,020"
Boxford - Boxford Town Library,2013,"7,965","67,776","$389,759 ",81,785,6,65,120,"2,349",207,"3,199","16,389","16,658","37,743",5,988
Millis - Millis Public Library,2013,"7,891","88,999","$330,333 ",34,980,30,234,211,"4,988",275,"6,202","11,521","17,550","64,520",7,"10,400"
Orange - Wheeler Memorial Library,2013,"7,839","53,938","$295,338 ",7,153,4,72,205,"3,477",216,"3,702","8,983","9,229","43,804",13,"7,904"
Sterling - Conant Free Public Library,2013,"7,808","95,826","$333,101 ",91,666,36,162,67,"1,662",194,"2,490","13,588","9,931","54,217",16,"5,356"
Williamstown - David & Joyce Milne Public Library,2013,"7,754","150,692","$503,154 ",22,249,5,61,130,"1,212",157,"1,522","15,905","15,460","77,311",15,"10,868"
West Boylston - Beaman Memorial Public Library,2013,"7,669","72,533","$328,110 ",74,"1,402",16,126,207,"4,844",297,"6,372","6,166","7,374","52,236",11,"4,784"
Cohasset - Paul Pratt Memorial Library,2013,"7,542","157,437","$520,157 ",64,"1,374",38,598,197,"7,711",299,"9,683","16,835","18,935","130,178",30,"13,000"
Upton - Upton Town Library,2013,"7,542","67,037","$213,334 ",27,231,4,13,193,"1,667",224,"1,911","10,499","8,232","30,589",5,"1,716"
Halifax - Holmes Public Library,2013,"7,518","46,130","$297,220 ",44,847,16,96,203,"3,766",263,"4,709","7,015","16,525","51,000",8,"4,160"
Ayer - Ayer Public Library,2013,"7,427","73,863","$464,512 ",4,85,6,30,81,"2,731",91,"2,846","4,949","12,410","85,000",13,"22,100"
Westminster - Forbush Memorial Library,2013,"7,277","52,524","$318,113 ",47,414,0,0,78,"2,824",125,"3,238","10,355","9,524","30,774",6,"1,508"
Shirley - Hazen Memorial Library,2013,"7,211","60,223","$200,204 ",178,"2,606",36,152,139,"3,327",353,"6,085","5,679","11,452","49,732",11,"18,720"
Great Barrington - Mason Library,2013,"7,104","148,777","$481,386 ",219,"2,299",7,29,220,"2,688",446,"5,016","17,461","17,245","138,004",41,"18,460"
Dighton - Dighton Public Library,2013,"7,086","38,756","$211,694 ",61,550,18,199,212,"1,972",291,"2,721","8,512","10,631","23,114",3,"1,040"
Rockport - Rockport Public Library,2013,"6,952","66,009","$504,550 ",189,"3,363",0,0,34,"1,237",223,"4,600","9,388","25,676","127,746",13,"13,728"
West Bridgewater - West Bridgewater Public Library,2013,"6,916","48,317","$381,059 ",19,274,4,19,52,"1,327",75,"1,620","7,796","15,509","32,572",10,"6,448"
Dalton - Dalton Free Public Library,2013,"6,756","43,410","$177,799 ",8,68,0,0,47,858,55,926,"6,935","6,166","37,217",6,"4,576"
Newbury - Newbury Town Library,2013,"6,666","50,616","$206,842 ",21,512,12,60,124,"2,285",157,"2,857","6,433","12,612","21,640",17,"3,224"
Stow - Randall Library,2013,"6,590","69,694","$213,229 ",13,211,8,87,154,"2,601",175,"2,899","16,488","11,828","40,638",4,"5,564"
Harvard - Harvard Public Library,2013,"6,520","113,222","$518,631 ",66,"3,168",46,506,385,"6,467",497,"10,141","12,854","8,472","105,356",17,"10,608"
Groveland - Langley Adams Library,2013,"6,459","59,745","$222,836 ",156,"1,340",69,108,257,"3,391",482,"4,839","10,502","10,058",,6,"3,900"
Berkley - Berkley Public Library,2013,"6,411","25,577","$112,258 ",3,125,,,144,"1,393",147,"1,518","6,226","6,629",,4,468
Lincoln - Lincoln Public Library,2013,"6,362","183,853","$883,688 ",155,"2,767",12,159,290,"7,811",457,"10,737","25,960","35,948","95,810",14,"29,848"
Merrimac - Merrimac Public Library,2013,"6,338","67,684","$247,363 ",8,187,7,144,80,"1,665",95,"1,996","11,380","12,359","51,000",13,"7,020"
Granby - Granby Free Public Library,2013,"6,240","43,177","$129,618 ",126,"1,147",28,196,52,604,206,"1,947","6,151","5,724","35,500",5,"4,680"
Chatham - South Chatham Public Library,2013,"6,125","2,858","$5,100 ",0,0,0,0,0,0,0,0,0,0,"1,853",0,0
Chatham - Eldredge Public Library,2013,"6,125","112,818","$424,217 ",299,"4,565",80,944,302,"9,131",681,"14,640","22,674","17,119","179,342",30,"31,876"
Topsfield - Topsfield Town Library,2013,"6,085","121,260","$475,630 ",30,"1,483",5,73,106,"2,357",141,"3,913","15,715","21,920","70,723",18,"3,120"
Ashburnham - Stevens Memorial Library,2013,"6,081","34,666","$205,825 ",15,552,,,22,728,37,"1,280",562,"1,369","56,414",5,"1,404"
Mattapoisett - Mattapoisett Public Library,2013,"6,045","77,761","$301,918 ",73,"1,340",30,504,199,"2,932",302,"4,776","9,938","13,597","74,646",6,"3,640"
Lee - Lee Library Association,2013,"5,943","55,592","$253,012 ",23,524,2,10,96,"1,070",121,"1,604","9,906","7,896","31,464",3,"6,240"
Hopedale - Bancroft Memorial Library,2013,"5,911","36,334","$237,242 ",81,729,12,142,150,"2,129",243,"3,000","5,753","9,022","22,200",7,"1,872"
Orleans - Snow Library,2013,"5,890","157,150","$515,288 ",354,"12,780",0,0,129,"1,670",483,"14,450","25,579","12,210","152,358",10,"15,600"
Rowley - Rowley Public Library,2013,"5,856","47,150","$214,674 ",84,"1,554",8,19,176,"2,809",268,"4,382","7,898","10,861","37,799",14,"13,000"
Mendon - Taft Public Library,2013,"5,839","33,109","$156,213 ",11,65,7,72,121,"2,589",139,"2,726","3,520","5,615","22,401",4,"1,508"
Southampton - Edwards Public Library,2013,"5,792","51,454","$123,898 ",62,712,14,102,83,"1,343",159,"2,157","8,607","4,975","26,821",7,"2,652"
Dover - Dover Town Library,2013,"5,589","189,733","$530,565 ",164,"5,423",28,"2,059",287,"10,017",479,"17,499","14,241","23,917","87,336",92,"17,368"
Barre - Woods Memorial Library,2013,"5,398","46,487","$170,618 ",11,753,6,15,107,"1,559",124,"2,327","4,145","4,438","28,264",7,"5,304"
Hadley - Goodwin Memorial Library,2013,"5,250","36,987","$188,085 ",64,398,,,59,320,123,718,"4,964","4,176","15,633",8,"2,184"
Rochester - Joseph H. Plumb Memorial Library,2013,"5,232","49,099","$184,890 ",62,407,6,68,89,"1,515",157,"1,990","9,368","8,376","29,848",8,"1,560"
Hampden - Hampden Free Library,2013,"5,139","26,139","$105,564 ",37,472,6,88,102,"1,528",145,"2,088","3,354","4,679","14,144",8,572
Manchester-by-the-Sea - Manchester-by-the-Sea Public Library,2013,"5,136","62,921","$407,708 ",48,462,24,606,157,"4,595",229,"5,663","11,938","15,660","50,843",6,"2,496"
Warren - Warren Public Library,2013,"5,135","10,989","$78,968 ",1,20,0,0,1,24,2,44,"11,057","2,600","9,152",3,"1,248"
Warren - West Warren Library Association,2013,"5,135","8,601","$78,356 ",4,200,0,0,5,50,9,250,"9,432","3,150","6,760",4,"4,160"
Deerfield - Tilton Library,2013,"5,125","49,361","$143,112 ",42,804,146,981,210,"2,084",398,"3,869","7,810","5,839",,3,"3,120"
Lenox - Lenox Library Association,2013,"5,025","74,348","$243,480 ",67,"3,107",0,0,400,"8,137",467,"11,244","9,227","12,680","47,788",8,"6,604"
Boxborough - Sargent Memorial Library,2013,"4,996","120,886","$321,632 ",89,"1,588",41,"1,087",198,"4,745",328,"7,420","8,880","19,100","94,103",12,"16,640"
Eastham - Eastham Public Library,2013,"4,956","89,263","$295,669 ",132,"1,786",0,0,240,"2,649",372,"4,435","15,633","18,631","65,340",7,"6,864"
Marion - Elizabeth Taber Memorial Library,2013,"4,907","36,154","$147,461 ",35,210,0,0,192,"4,794",227,"5,004","7,066","4,056","50,000",6,"5,200"
Bolton - Bolton Public Library,2013,"4,897","80,993","$365,059 ",94,864,35,153,153,"3,830",282,"4,847","8,881","15,727","38,682",10,"2,444"
Carlisle - Gleason Public Library,2013,"4,852","102,345","$549,930 ",91,"2,080",23,241,100,"1,516",214,"3,837","16,360","24,606","85,381",6,"6,812"
Paxton - Richards Memorial Library,2013,"4,806","38,351","$153,594 ",5,130,2,9,65,"1,174",72,"1,313","1,914","3,153","12,000",5,"3,900"
North Brookfield - Haston Free Public Library,2013,"4,680","33,571","$95,006 ",23,970,10,33,62,812,95,"1,815","7,135","3,621","25,840",11,"1,976"
Oak Bluffs - Oak Bluffs Public Library,2013,"4,527","113,790","$461,686 ",191,"2,038",10,70,106,"2,525",307,"4,633","12,078","25,570","71,012",23,"19,864"
Hubbardston - Hubbardston Public Library,2013,"4,382","16,018","$55,324 ",12,103,2,44,34,545,48,692,"3,663","1,637","7,920",2,780
Avon - Avon Public Library,2013,"4,356","36,050","$355,851 ",17,145,6,75,39,397,62,617,"3,571","13,248","50,244",6,"7,020"
Boylston - Boylston Public Library,2013,"4,355","26,740","$161,051 ",21,238,12,56,64,"1,207",97,"1,501","3,132","3,240","24,369",3,"2,548"
West Newbury - G. A. R. Memorial Library,2013,"4,235","106,092","$291,558 ",26,360,,,182,"3,983",208,"4,343","13,956","15,126","44,393",7,"18,564"
Sherborn - Sherborn Library,2013,"4,119","77,311","$387,012 ",50,293,7,55,81,"2,057",138,"2,405",591,515,"44,098",6,"2,340"
Edgartown - Edgartown Free Public Library,2013,"4,067","62,414","$499,434 ",93,"2,023",0,,128,"1,249",221,"3,272","8,433","23,008","47,898",15,"9,932"
Tisbury - Vineyard Haven Public Library,2013,"3,949","108,260","$509,643 ",148,"2,625",50,105,206,"2,883",404,"5,613","15,839","25,684","80,777",21,"17,160"
West Brookfield - Merriam-Gilbert Public Library,2013,"3,701","32,538","$182,696 ",35,367,2,36,115,"2,784",152,"3,187","5,040","6,619","49,401",6,"3,172"
Sunderland - Sunderland Public Library,2013,"3,684","65,076","$112,397 ",68,965,7,35,74,"1,323",149,"2,323","10,725","5,925","46,534",14,"10,400"
Brimfield - Brimfield Public Library,2013,"3,609","17,588","$92,562 ",5,55,0,0,17,230,22,285,374,0,"4,892",2,"1,144"
Essex - T.O.H.P. Burnham Free Library,2013,"3,504","36,970","$106,142 ",10,102,5,64,54,"1,202",69,"1,368","8,486","5,648",,3,"2,236"
Princeton - Princeton Public Library,2013,"3,413","38,206","$157,141 ",45,470,13,175,138,"2,021",196,"2,666","6,950","5,269","29,720",9,"1,456"
Nahant - Nahant Public Library,2013,"3,410","18,506","$193,076 ",14,144,0,0,74,697,87,761,204,,"11,634",2,780
Brookfield - Merrick Public Library,2013,"3,390","27,195","$106,064 ",30,120,40,125,100,"1,560",170,"1,805","3,825","5,945","13,504",5,"5,200"
Hatfield - Hatfield Public Library,2013,"3,279","21,515","$102,052 ",11,103,1,50,102,"1,602",114,"1,755","3,317","4,742","10,043",2,520
Sheffield - Bushnell-Sage Library,2013,"3,257","20,405","$159,665 ",358,"2,564",0,0,94,622,452,"3,186","4,298","9,635","30,670",4,"9,932"
Cheshire - Cheshire Public Library,2013,"3,235","7,026","$22,302 ",,,,,13,45,13,45,265,349,"1,278",1,52
Millville - Millville Free Public Library,2013,"3,190",881,"$14,579 ",,,,,,,,,,45,,5,"1,300"
Dunstable - Dunstable Free Public Library,2013,"3,179","21,556","$148,669 ",70,800,10,45,70,800,150,"1,645","4,249","8,053","10,300",3,572
Lanesborough - Lanesborough Public Library,2013,"3,091","9,079","$32,589 ",19,157,,,52,618,71,775,213,94,"6,206",2,520
Ashby - Ashby Free Public Library,2013,"3,074","20,094","$83,623 ",14,101,0,0,82,"1,035",96,"1,136","3,588","4,446","16,274",6,416
Northfield - Field Library,2013,"3,032",326,$575 ,0,0,0,0,3,45,3,45,268,23,275,0,0
Northfield - Dickinson Memorial Library,2013,"3,032","48,586","$140,254 ",30,639,0,0,77,"1,200",107,"1,839","10,395","4,590","24,526",7,832
Hardwick - Paige Memorial Library,2013,"2,990","8,618","$48,361 ",4,117,2,31,51,971,57,"1,119",458,137,"4,622",4,"1,040"
Hardwick - Gilbertville Public Library,2013,"2,990","9,349","$20,757 ",78,846,,,6,268,84,"1,114","1,129",82,"7,842",6,"7,540"
Provincetown - Provincetown Public Library,2013,"2,942","88,957","$291,776 ",255,"1,781",24,141,114,"1,003",393,"2,925","11,283","11,791","342,127",12,"44,928"
Berlin - Berlin Public Library,2013,"2,866","15,804","$113,471 ",30,309,5,22,107,"1,313",142,"1,644","3,231","5,087","9,828",3,520
Plympton - Plympton Public Library,2013,"2,820","25,953","$119,057 ",98,843,0,0,61,"1,230",159,"2,073","3,467","8,639","15,132",5,"1,612"
Wellfleet - Wellfleet Public Library,2013,"2,750","99,576","$365,285 ",297,"10,395",29,232,281,"5,058",607,"15,685","15,565","19,220","92,260",23,"24,440"
West Tisbury - West Tisbury Free Public Library,2013,"2,740","106,256","$417,650 ",64,968,1,70,106,"2,999",171,"4,037",985,203,"97,544",4,"6,240"
Williamsburg - Meekins Public Library,2013,"2,482","87,246","$125,020 ",137,"3,500",35,525,377,"3,854",549,"7,879","10,905","11,033","49,500",11,"5,720"
Holland - Holland Public Library,2013,"2,481","1,846","$34,041 ",4,16,,,32,83,36,99,734,862,"1,894",2,364
"Becket - Becket Athenaeum, Inc.",2013,"2,317","8,899","$47,000 ",18,180,146,584,146,,310,764,267,253,"9,048",10,"3,120"
East Brookfield - East Brookfield Public Library,2013,"2,183","12,048","$72,287 ",50,286,11,66,80,"1,460",141,"1,812","1,100","1,456","7,800",4,"1,300"
Huntington - Huntington Public Library,2013,"2,180","7,991","$60,704 ",53,359,12,52,29,194,94,605,549,,"6,139",5,"2,600"
Bernardston - Cushman Library,2013,"2,129","17,370","$60,596 ",42,297,1,4,43,559,86,860,"3,147","1,673","8,713",2,468
Hinsdale - Hinsdale Public Library,2013,"2,032","13,820","$60,615 ",17,182,0,0,11,215,28,397,686,,"7,762",5,"2,600"
Truro - Truro Public Library,2013,"2,003","48,262","$307,447 ",76,"1,684",5,15,213,"4,700",294,"6,399","9,573","14,964","48,544",4,"7,800"
Stockbridge - Stockbridge Library Association,2013,"1,947","27,726","$135,000 ",37,"1,276",1,20,128,"3,463",166,"4,759","3,589","5,282","26,250",5,"3,900"
